Network,Network,Assortivity,GFD1,GFD2,GFD3,GFD4,GFD5,GFD6,GFD7,GFD8,GFD9,GFD10,GFD11,GFD12,GFD13,GFD14,GFD15,GFD16,GFD17,GFD18,GFD19,GFD20,GFD21,GFD22,GFD23,GFD24,GFD25,GFD26,GFD27,GFD28,GFD29,Hawkes,Eigen,SIS,LOG_Hawkes,LOG_Eigen,LOG_SIS
1,socfb-Caltech36_network_1,-0.067413,-3.69962,-4.30168,-2.14031,-2.46283,-3.82456,-2.81032,-3.52353,-4.30168,-0.675751,-0.424598,-1.10083,-1.13083,-1.27638,-1.21354,-2.14332,-1.27149,-1.61326,-2.36718,-1.77405,-2.69962,-1.94757,-2.95926,-2.51635,-2.2335,-2.79653,-2.97946,-3.82456,-3.69962,-4.30168,9.1001,73.572,8.8446,0.959046165,1.866712562,0.946678197
2,socfb-Caltech36_network_2,-0.079344,-4.00065,-4.30168,-2.18774,-2.43836,-3.30168,-2.74538,-3.30168,-4.30168,-0.699187,-0.411763,-1.11671,-1.11501,-1.31715,-1.20581,-2.10578,-1.26625,-1.57577,-2.36718,-1.72881,-2.66821,-1.96124,-2.85452,-2.69962,-2.28465,-2.82456,-3.2225,-3.39859,-3.82456,-4.30168,8.7355,73.298,8.5035,0.941287768,1.865092125,0.929597716
3,socfb-Caltech36_network_3,-0.072082,-4.30168,-4.30168,-2.02752,-2.34744,-3.39859,-2.7702,-3.52353,-4.30168,-0.689958,-0.409308,-1.10138,-1.13584,-1.29436,-1.2298,-2.15555,-1.26705,-1.63236,-2.43245,-1.80337,-2.75761,-1.91966,-2.90374,-2.6889,-2.34744,-2.88671,-3.2225,-3.60271,-3.82456,-4.30168,8.9556,73.467,8.71,0.952094688,1.866092306,0.940018155
4,socfb-Caltech36_network_4,-0.060171,-3.60271,-4.30168,-2.2225,-2.56132,-3.82456,-2.75761,-3.69962,-4.30168,-0.704754,-0.414852,-1.10495,-1.09297,-1.31001,-1.19312,-2.12849,-1.2361,-1.6062,-2.40405,-1.7382,-2.7219,-2.04161,-3.07123,-2.54581,-2.38787,-2.7219,-3.07123,-3.69962,-3.82456,-4.30168,9.3397,73.739,9.0685,0.970332927,1.867697244,0.957535457
5,socfb-Caltech36_network_5,-0.065672,-4.00065,-4.30168,-2.13436,-2.43836,-3.69962,-2.95926,-3.82456,-4.30168,-0.716672,-0.418133,-1.08578,-1.08843,-1.28758,-1.1675,-2.14332,-1.28423,-1.6106,-2.35229,-1.75268,-2.7702,-1.93433,-3.00065,-2.65823,-2.31491,-2.78317,-3.02293,-3.52353,-3.82456,-4.00065,9.1443,73.603,8.8861,0.961150466,1.866895516,0.948711196
6,socfb-Caltech36_network_6,-0.059112,-3.26029,-4.00065,-2.14634,-2.34264,-3.45658,-2.6889,-3.52353,-4.30168,-0.690276,-0.413951,-1.10468,-1.12559,-1.29736,-1.21818,-2.20826,-1.23985,-1.63051,-2.43836,-1.79925,-2.62044,-1.94566,-2.95926,-2.67843,-2.35229,-2.7219,-3.09756,-4.00065,-4.30168,-4.30168,9.3468,73.743,9.0746,0.97066295,1.867720802,0.957827491
7,socfb-Caltech36_network_7,-0.062605,-3.45658,-4.00065,-2.28884,-2.46283,-3.34744,-2.93995,-3.69962,-3.82456,-0.707509,-0.419384,-1.10744,-1.10689,-1.27027,-1.19822,-2.17135,-1.25053,-1.56848,-2.26826,-1.73231,-2.7702,-1.98571,-2.81032,-2.53083,-2.28049,-2.82456,-2.93995,-3.39859,-3.69962,-4.30168,9.2377,73.668,8.9731,0.965563854,1.867278879,0.952942508
8,socfb-Caltech36_network_8,-0.07013,-3.39859,-4.30168,-2.3332,-2.4955,-4.00065,-2.7702,-3.34744,-3.82456,-0.698212,-0.41927,-1.10357,-1.09378,-1.28548,-1.19515,-2.13142,-1.26306,-1.61148,-2.3826,-1.75391,-2.79653,-1.95143,-2.85452,-2.4955,-2.37226,-2.7219,-2.93995,-3.82456,-4.00065,-4.30168,8.9783,73.482,8.7308,0.953194113,1.866180968,0.94105404
9,socfb-Caltech36_network_9,-0.068837,-3.45658,-4.30168,-2.2225,-2.44435,-3.30168,-2.79653,-3.39859,-4.30168,-0.712737,-0.419669,-1.07508,-1.10165,-1.29564,-1.16719,-2.1618,-1.25871,-1.59411,-2.40405,-1.7898,-2.71062,-1.95338,-2.97946,-2.62044,-2.40405,-2.7219,-3.15555,-3.45658,-3.69962,-4.30168,9.0079,73.503,8.7585,0.954623556,1.866305065,0.942429734
10,socfb-Caltech36_network_10,-0.056877,-4.30168,-4.30168,-2.24478,-2.50234,-3.52353,-2.78317,-3.52353,-4.30168,-0.692727,-0.428128,-1.0981,-1.10523,-1.25989,-1.19042,-2.14634,-1.24478,-1.60532,-2.36718,-1.74297,-2.67843,-1.9733,-2.83928,-2.65823,-2.3332,-2.87032,-3.04641,-3.60271,-3.69962,-4.30168,9.4656,73.823,9.1858,0.976148148,1.86819169,0.963116985
