Network,Network,Assortivity,GFD1,GFD2,GFD3,GFD4,GFD5,GFD6,GFD7,GFD8,GFD9,GFD10,GFD11,GFD12,GFD13,GFD14,GFD15,GFD16,GFD17,GFD18,GFD19,GFD20,GFD21,GFD22,GFD23,GFD24,GFD25,GFD26,GFD27,GFD28,GFD29,Hawkes,Eigen,SIS,LOG_Hawkes,LOG_Eigen,LOG_SIS
399,rt-retweet_network_399,-0.077713,-1.85608,-3.26029,-1.13466,-1.24136,-2.78317,-2.10856,-3.34744,-4.30168,-0.884542,-0.35572,-0.833629,-1.43421,-1.86552,-1.46981,-2.67843,-1.56369,-2.31491,-3.69962,-2.32396,-3.09756,-2.78317,-4.30168,-4.30168,-3.69962,-3.34744,-4.30168,-4.30168,-4.30168,-4.30168,79.547,5.4768,20.804,1.900623806,0.738526882,1.318146845
206,rt-retweet_network_206,-0.074229,-1.82892,-3.60271,-1.1323,-1.22431,-2.87032,-2.18111,-3.39859,-4.30168,-0.814967,-0.346763,-0.864882,-1.55427,-1.77276,-1.55272,-2.83928,-1.65724,-2.67843,-3.39859,-2.63892,-3.39859,-2.87032,-4.30168,-4.30168,-3.60271,-3.82456,-4.30168,-4.30168,-4.30168,-4.30168,26.584,5.3501,12.767,1.424620328,0.7283619,1.106088858
118,rt-retweet_network_118,-0.15,-1.80753,-3.45658,-1.15493,-1.19379,-2.74538,-2.17135,-4.30168,-4.30168,-0.879748,-0.331846,-0.816528,-1.61863,-1.93995,-1.54353,-3.2225,-1.6774,-2.82456,-3.69962,-2.74538,-3.60271,-2.92147,-4.30168,-4.30168,-3.82456,-4.30168,-4.30168,-4.30168,-4.30168,-4.30168,11.183,5.1982,7.4459,1.048558325,0.715852985,0.871917199
408,rt-retweet_network_408,-0.07989,-1.79248,-3.26029,-1.15711,-1.26029,-3.60271,-1.92147,-3.07123,-4.30168,-0.926017,-0.367839,-0.90028,-1.19075,-1.63892,-1.24783,-2.87032,-2.01388,-2.10028,-2.78317,-2.2335,-4.30168,-3.15555,-3.82456,-4.30168,-3.18774,-3.45658,-4.30168,-4.30168,-4.30168,-4.30168,49.474,5.4298,16.679,1.694377025,0.734783833,1.222170009
437,rt-retweet_network_437,-0.047668,-1.79114,-3.39859,-1.19143,-1.24023,-2.83928,-2.17783,-3.39859,-4.30168,-0.941845,-0.315985,-0.84259,-1.48214,-2.05864,-1.54963,-3.30168,-1.4861,-2.85452,-3.52353,-2.50929,-3.07123,-2.59411,-4.30168,-4.30168,-3.82456,-3.60271,-4.30168,-4.30168,-4.30168,-4.30168,64.609,5.4544,19.269,1.810293019,0.736746984,1.284859177
292,rt-retweet_network_292,-0.15087,-1.7898,-3.39859,-1.18012,-1.16338,-3.07123,-2.06615,-3.45658,-4.30168,-0.905656,-0.33988,-0.804751,-1.46853,-1.94185,-1.51351,-3.09756,-1.76639,-2.87032,-3.15555,-2.58568,-4.00065,-2.83928,-4.30168,-4.30168,-4.30168,-4.30168,-4.30168,-4.30168,-4.30168,-4.30168,10.181,5.171,6.9655,1.007790437,0.713574538,0.842952297
320,rt-retweet_network_320,-0.082503,-1.78846,-3.39859,-1.18441,-1.19788,-2.92147,-2.01612,-3.12559,-4.30168,-0.873546,-0.379319,-0.830389,-1.3109,-1.74417,-1.38628,-2.82456,-1.72997,-2.10856,-3.60271,-2.30168,-3.82456,-2.93995,-4.30168,-4.30168,-3.04641,-3.82456,-4.30168,-4.30168,-4.30168,-4.30168,71.864,5.4675,19.608,1.856511387,0.737788792,1.292433298
338,rt-retweet_network_338,-0.090776,-1.78581,-3.39859,-1.15773,-1.19379,-3.07123,-1.96522,-2.97946,-4.30168,-0.870961,-0.387232,-0.86219,-1.27068,-1.73231,-1.32213,-2.93995,-1.86552,-1.90374,-3.04641,-2.3572,-3.69962,-2.97946,-3.52353,-4.30168,-3.12559,-4.00065,-4.30168,-4.30168,-4.30168,-4.30168,61.985,5.4547,18.25,1.792286606,0.73677087,1.261262869
201,rt-retweet_network_201,-0.15783,-1.78054,-3.60271,-1.11642,-1.1874,-2.88671,-2.52353,-3.45658,-4.30168,-0.812848,-0.338649,-0.753046,-1.95533,-2.29736,-2.27638,-2.56132,-1.70508,-2.73348,-4.30168,-2.83928,-3.82456,-3.60271,-4.30168,-4.30168,-4.00065,-4.30168,-4.30168,-4.30168,-4.30168,-4.30168,9.1505,5.1325,6.6279,0.961444825,0.710328958,0.821375947
56,rt-retweet_network_56,-0.12648,-1.77534,-3.39859,-1.16023,-1.24976,-2.95926,-2.31941,-3.82456,-4.30168,-0.839583,-0.321814,-0.835555,-1.53527,-1.9774,-1.72076,-2.81032,-1.68996,-3.15555,-3.52353,-3.09756,-3.45658,-3.18774,-4.30168,-4.30168,-4.00065,-4.00065,-4.30168,-4.30168,-4.30168,-4.30168,11.843,5.2072,7.7942,1.073461729,0.716604259,0.891771546
162,rt-retweet_network_162,-0.077277,-1.77405,-3.69962,-1.13942,-1.26705,-2.97946,-2.28884,-3.34744,-4.30168,-0.812989,-0.319229,-0.895141,-1.82456,-1.81454,-1.60011,-2.54581,-1.64082,-2.3332,-3.69962,-2.92147,-3.52353,-2.95926,-4.00065,-4.30168,-4.00065,-4.30168,-4.30168,-4.30168,-4.30168,-4.30168,36.535,5.394,14.637,1.562709112,0.731910942,1.165452073
164,rt-retweet_network_164,-0.18265,-1.7702,-3.39859,-1.14392,-1.14362,-2.78317,-2.19447,-3.52353,-4.30168,-0.857949,-0.345705,-0.798981,-1.74177,-1.94566,-1.60184,-2.79653,-1.70618,-2.62044,-3.52353,-2.78317,-3.45658,-3.04641,-4.30168,-4.30168,-4.30168,-3.60271,-4.30168,-4.30168,-4.30168,-4.30168,9.3337,5.1533,6.5207,0.970053838,0.712085426,0.81429422
