Network,Network,Assortivity,GFD1,GFD2,GFD3,GFD4,GFD5,GFD6,GFD7,GFD8,GFD9,GFD10,GFD11,GFD12,GFD13,GFD14,GFD15,GFD16,GFD17,GFD18,GFD19,GFD20,GFD21,GFD22,GFD23,GFD24,GFD25,GFD26,GFD27,GFD28,GFD29,Hawkes,Eigen,SIS,LOG_Hawkes,LOG_Eigen,LOG_SIS
1,soc-dolphins_network_1,-0.18297,-1.76893,-3.12559,-1.08288,-1.46662,-2.4955,-2.03451,-3.26029,-4.30168,-0.574791,-0.417225,-1.35621,-1.47109,-1.48148,-1.67432,-2.15246,-1.32902,-2.36718,-3.07123,-2.3572,-2.87032,-2.24478,-3.69962,-4.30168,-3.39859,-3.60271,-4.30168,-4.30168,-4.30168,-4.30168,7.1548,6.7498,6.1405,0.854597498,0.829290905,0.788203736
2,soc-dolphins_network_2,-0.017461,-1.79925,-3.18774,-1.08446,-1.48478,-2.54581,-1.89514,-2.95926,-4.30168,-0.569529,-0.440804,-1.48743,-1.30824,-1.38681,-1.60795,-2.03923,-1.41802,-2.13436,-2.82456,-2.08157,-3.09756,-2.31941,-3.69962,-4.30168,-2.88671,-3.45658,-4.30168,-3.52353,-4.30168,-4.30168,8.6635,6.9294,7.1304,0.93769338,0.840695632,0.853113894
3,soc-dolphins_network_3,-0.10806,-1.81881,-3.02293,-1.08236,-1.47625,-2.64847,-1.99633,-3.09756,-4.30168,-0.55872,-0.438477,-1.4203,-1.37329,-1.4035,-1.63892,-2.05864,-1.34792,-2.35229,-3.02293,-2.28465,-3.02293,-2.3774,-3.69962,-4.30168,-3.02293,-3.34744,-4.30168,-4.30168,-4.30168,-4.30168,7.8288,6.8407,6.6021,0.893695198,0.835100545,0.819682098
4,soc-dolphins_network_4,-0.065372,-1.75023,-3.07123,-1.07663,-1.5065,-2.54581,-1.90374,-3.12559,-4.00065,-0.570899,-0.454664,-1.46409,-1.2834,-1.36718,-1.57823,-2.11416,-1.37534,-2.20477,-2.56929,-2.30168,-3.00065,-2.08157,-4.30168,-3.09756,-3.39859,-3.69962,-3.69962,-4.30168,-4.30168,-4.30168,8.6327,6.9317,7.0967,0.936146649,0.840839758,0.851056447
5,soc-dolphins_network_5,0.046131,-1.72419,-2.92147,-1.07379,-1.48214,-2.57741,-1.85608,-2.95926,-3.82456,-0.581604,-0.468789,-1.45907,-1.2772,-1.27925,-1.58401,-2.10302,-1.38208,-2.25246,-2.59411,-2.11416,-2.95926,-2.13142,-4.00065,-3.07123,-2.85452,-3.52353,-3.69962,-4.00065,-4.30168,-4.30168,9.5115,6.9989,7.6608,0.978249012,0.845029788,0.884274124
6,soc-dolphins_network_6,-0.035754,-1.93995,-3.12559,-1.09567,-1.53527,-2.59411,-1.96522,-3.07123,-4.30168,-0.570657,-0.436103,-1.45349,-1.30212,-1.31491,-1.57905,-2.10302,-1.39913,-2.22613,-2.75761,-2.30168,-3.18774,-2.20477,-3.82456,-3.34744,-3.2225,-3.52353,-3.82456,-4.30168,-4.30168,-4.30168,8.4194,6.9038,6.985,0.925281143,0.839088202,0.84416641
7,soc-dolphins_network_7,-0.12374,-1.81454,-2.83928,-1.09512,-1.49212,-2.75761,-1.82456,-2.85452,-3.60271,-0.588358,-0.471413,-1.48677,-1.22723,-1.2189,-1.50999,-2.15867,-1.49011,-2.07637,-2.43836,-2.06868,-3.34744,-2.15867,-3.69962,-2.53083,-2.73348,-3.2225,-3.39859,-4.30168,-4.30168,-4.30168,7.8159,6.847,6.5199,0.892978994,0.835500328,0.814240935
8,soc-dolphins_network_8,-0.11851,-1.70399,-3.18774,-1.07072,-1.48214,-2.62044,-1.89006,-2.97946,-4.00065,-0.556606,-0.458635,-1.44074,-1.33554,-1.35327,-1.60883,-2.20826,-1.42431,-2.12559,-2.93995,-2.18441,-3.2225,-2.21178,-4.00065,-3.09756,-2.95926,-3.39859,-3.82456,-4.30168,-4.30168,-4.30168,7.9173,6.8557,6.6288,0.898577101,0.836051805,0.821434916
9,soc-dolphins_network_9,0.012157,-1.81738,-3.07123,-1.07482,-1.49618,-2.47561,-1.82746,-2.97946,-4.30168,-0.572192,-0.472313,-1.5065,-1.25832,-1.29736,-1.51921,-2.17135,-1.38104,-2.09217,-2.56929,-2.15555,-2.95926,-2.18111,-3.52353,-4.30168,-2.75761,-3.26029,-4.30168,-4.00065,-4.30168,-4.30168,8.5857,6.9149,7.0936,0.933775709,0.839785904,0.850866695
10,soc-dolphins_network_10,-0.14813,-1.78054,-3.09756,-1.08869,-1.46095,-2.61148,-1.94757,-2.97946,-4.30168,-0.563059,-0.434331,-1.36769,-1.48677,-1.41745,-1.67432,-2.05371,-1.33742,-2.20477,-3.12559,-2.19447,-3.00065,-2.40405,-3.60271,-3.34744,-3.12559,-3.18774,-4.30168,-4.30168,-4.30168,-4.30168,7.5313,6.8024,6.3989,0.876869948,0.832662166,0.806105323
