Network,Network,Assortivity,GFD1,GFD2,GFD3,GFD4,GFD5,GFD6,GFD7,GFD8,GFD9,GFD10,GFD11,GFD12,GFD13,GFD14,GFD15,GFD16,GFD17,GFD18,GFD19,GFD20,GFD21,GFD22,GFD23,GFD24,GFD25,GFD26,GFD27,GFD28,GFD29,Hawkes,Eigen,SIS,LOG_Hawkes,LOG_Eigen,LOG_SIS
1,soc-firm-hi-tech_net1,-0.25576,-1.60098,-2.58568,-1.15246,-1.3518,-2.11699,-1.51921,-2.39859,-3.30168,-0.931168,-0.618904,-1.22322,-1.03757,-1.31536,-1.15711,-2.02522,-1.16023,-1.51351,-2.19109,-1.63051,-2.31045,-1.62774,-2.90374,-2.2298,-2.26826,-2.30605,-2.73348,-3.15555,-3.60271,-4.30168,12.016,7.5588,8.2844,1.07975992,0.878452854,0.91826106
2,soc-firm-hi-tech_net2,-0.17194,-1.73465,-2.62044,-1.16338,-1.36971,-2.2225,-1.49078,-2.14939,-3.34744,-0.913224,-0.605587,-1.30299,-1.07457,-1.27884,-1.1691,-2.00283,-1.29308,-1.32902,-2.18774,-1.50303,-2.67843,-1.76135,-2.3332,-2.34744,-1.78449,-2.63892,-2.54581,-2.79653,-3.82456,-4.30168,14.904,7.6615,9.4227,1.173302842,0.884313806,0.974175364
3,soc-firm-hi-tech_net3,-0.20606,-1.64272,-2.65823,-1.13971,-1.33087,-2.12559,-1.55505,-2.28465,-4.00065,-0.973505,-0.595048,-1.22686,-1.08027,-1.33648,-1.18908,-2.07896,-1.09675,-1.43069,-2.31941,-1.6062,-2.35229,-1.66519,-2.61148,-3.02293,-1.99633,-2.24098,-3.69962,-2.97946,-4.30168,-4.30168,12.147,7.5604,8.3756,1.084469031,0.878544773,0.923015928
4,soc-firm-hi-tech_net4,-0.23351,-1.7382,-2.64847,-1.15742,-1.39212,-2.28465,-1.45534,-2.31491,-3.04641,-0.892763,-0.628015,-1.26745,-1.09083,-1.25989,-1.11699,-2.08684,-1.20861,-1.38104,-2.2225,-1.63987,-2.45658,-1.66219,-2.6889,-2.12849,-2.03451,-2.55349,-2.34264,-3.12559,-3.30168,-3.60271,13.474,7.6195,8.8425,1.129496543,0.881926473,0.946575068
5,soc-firm-hi-tech_net5,-0.11706,-1.71735,-2.50929,-1.14332,-1.39805,-2.2486,-1.44314,-2.09756,-3.39859,-0.92147,-0.6411,-1.32625,-1.06641,-1.22796,-1.16974,-2.25246,-1.24707,-1.3332,-2.2486,-1.4861,-2.57741,-1.70839,-2.56132,-2.11699,-1.82892,-2.31941,-2.2723,-2.65823,-3.04641,-4.30168,19.384,7.7606,10.948,1.287443401,0.889895299,1.039334789
6,soc-firm-hi-tech_net6,-0.2565,-1.75514,-2.71062,-1.1749,-1.33367,-2.20477,-1.56449,-2.44435,-3.60271,-0.971064,-0.577077,-1.17881,-1.12012,-1.25675,-1.13054,-2.13142,-1.12908,-1.54126,-2.20477,-1.64943,-2.28465,-1.61594,-3.02293,-2.50929,-2.17458,-2.31045,-2.7702,-3.2225,-3.60271,-4.30168,11.357,7.5275,7.9955,1.055263626,0.876650764,0.902845628
7,soc-firm-hi-tech_net7,-0.18159,-1.66419,-2.45658,-1.15246,-1.41126,-2.40959,-1.43658,-2.14031,-2.92147,-0.890904,-0.639301,-1.29865,-1.05617,-1.22943,-1.13584,-2.16814,-1.33601,-1.36366,-2.21532,-1.4597,-2.85452,-1.77405,-2.74538,-1.99205,-1.88008,-2.55349,-2.46283,-3.00065,-3.15555,-3.82456,15.445,7.6783,9.5844,1.188787913,0.885265076,0.98156493
8,soc-firm-hi-tech_net8,-0.16008,-1.63144,-2.71062,-1.15524,-1.35474,-2.07379,-1.53157,-2.42662,-3.39859,-0.966223,-0.594963,-1.2298,-1.14121,-1.37585,-1.1864,-2.06615,-1.044,-1.43539,-2.45658,-1.64367,-2.04883,-1.60184,-2.7702,-2.34264,-2.16496,-2.30605,-2.61148,-2.90374,-3.34744,-4.30168,15.438,7.6756,9.6886,1.188591037,0.885112334,0.986261026
9,soc-firm-hi-tech_net9,-0.18159,-1.59411,-2.51635,-1.16719,-1.33273,-2.10028,-1.47173,-2.2335,-3.18774,-0.965421,-0.618004,-1.25363,-1.04859,-1.27474,-1.14483,-2.35229,-1.19651,-1.40296,-2.2335,-1.60011,-2.48214,-1.66519,-2.74538,-2.34744,-1.98571,-2.20826,-2.64847,-3.09756,-3.69962,-4.30168,13.788,7.6261,9.0288,1.139501275,0.882302496,0.955630033
10,soc-firm-hi-tech_net10,-0.13412,-1.71735,-2.55349,-1.14665,-1.41632,-2.27638,-1.4203,-2.02984,-2.88671,-0.955524,-0.646062,-1.34599,-1.04042,-1.25091,-1.10028,-2.15867,-1.26029,-1.34312,-2.05371,-1.51635,-2.69962,-1.69315,-2.62044,-1.97946,-1.83481,-2.40959,-2.47561,-2.92147,-2.90374,-4.30168,16.785,7.7087,10.111,1.224921346,0.886981145,1.00479411
11,soc-firm-hi-tech_net11,-0.24909,-1.62044,-2.53825,-1.10717,-1.33837,-2.29308,-1.47238,-2.12849,-3.45658,-0.91216,-0.600718,-1.27068,-1.1282,-1.2727,-1.18045,-2.02522,-1.26906,-1.41859,-2.28465,-1.47173,-2.67843,-1.76765,-2.55349,-2.62044,-1.91429,-2.54581,-3.00065,-2.97946,-4.00065,-4.30168,11.561,7.5354,8.0704,1.062995401,0.877106311,0.906895061
