Network,Network,Assortivity,GFD1,GFD2,GFD3,GFD4,GFD5,GFD6,GFD7,GFD8,GFD9,GFD10,GFD11,GFD12,GFD13,GFD14,GFD15,GFD16,GFD17,GFD18,GFD19,GFD20,GFD21,GFD22,GFD23,GFD24,GFD25,GFD26,GFD27,GFD28,GFD29,Hawkes,Eigen,SIS,LOG_Hawkes,LOG_Eigen,LOG_SIS
1,karate_network_1,-0.27391,-1.62958,-2.62044,-1.25324,-1.20028,-2.65823,-1.47496,-2.2486,-3.52353,-1.29822,-0.566721,-0.903741,-1.01142,-1.53083,-1.02065,-2.82456,-1.58651,-1.25832,-2.37226,-1.59072,-3.39859,-2.14031,-2.39859,-2.28884,-1.96124,-3.12559,-2.45658,-3.45658,-3.60271,-4.30168,119.91,7.0784,27.098,2.078855403,0.849935101,1.432937238
2,karate_network_2,-0.39146,-1.58819,-2.60271,-1.26227,-1.18177,-2.52353,-1.52643,-2.50929,-3.69962,-1.08604,-0.575524,-0.87778,-1.12966,-1.49891,-0.998053,-2.56929,-1.38156,-1.39481,-2.25636,-1.91607,-2.78317,-1.94185,-2.67843,-2.47561,-2.40405,-2.78317,-2.78317,-3.39859,-3.82456,-4.30168,31.182,6.8658,14.887,1.493903967,0.836691148,1.172807188
3,karate_network_3,-0.31576,-1.59839,-2.50234,-1.2425,-1.17881,-2.58568,-1.50096,-2.34264,-3.45658,-1.14392,-0.610423,-0.895652,-1.06439,-1.47431,-1.01209,-2.4955,-1.51564,-1.24516,-2.20826,-1.69854,-3.12559,-2.04883,-2.35229,-2.28049,-2.14634,-2.6889,-2.71062,-4.30168,-3.26029,-4.30168,101.56,7.0587,25.125,2.006722692,0.848724724,1.40010607
4,karate_network_4,-0.24096,-1.63236,-2.45658,-1.28298,-1.20547,-2.63892,-1.46283,-2.19109,-3.34744,-1.22468,-0.591564,-0.942605,-1.04665,-1.47045,-0.951627,-2.6889,-1.61504,-1.26545,-2.28465,-1.57823,-3.60271,-2.19788,-2.3932,-2.11984,-1.94185,-2.92147,-2.31491,-3.30168,-2.85452,-4.30168,485.09,7.2362,40.462,2.685822322,0.859510562,1.607047346
5,karate_network_5,-0.30641,-1.6543,-2.64847,-1.24707,-1.17264,-2.51635,-1.49482,-2.13142,-3.60271,-1.19345,-0.580365,-0.884874,-1.13703,-1.4928,-1.04209,-2.75761,-1.41406,-1.26987,-2.21532,-1.7018,-2.50234,-1.99848,-2.19447,-2.62958,-2.01165,-2.88671,-2.83928,-2.85452,-3.69962,-4.30168,133.82,7.0946,27.746,2.126521026,0.850927915,1.443200382
6,karate_network_6,-0.26812,-1.63892,-2.56132,-1.28465,-1.1691,-2.50234,-1.52281,-2.1618,-3.12559,-1.24669,-0.569368,-0.857949,-1.10083,-1.62866,-1.05989,-2.62958,-1.47367,-1.24745,-2.50929,-1.61148,-3.04641,-2.01165,-2.1618,-2.2335,-1.99205,-2.75761,-2.58568,-3.12559,-3.60271,-4.30168,306.73,7.1886,35.899,2.486756255,0.856644319,1.555082351
7,karate_network_7,-0.28593,-1.60358,-2.64847,-1.24516,-1.19959,-2.45658,-1.50929,-2.20826,-3.82456,-1.21854,-0.541711,-0.927483,-1.09539,-1.59156,-1.04042,-2.64847,-1.39427,-1.28256,-2.42087,-1.75145,-3.00065,-2.11699,-2.24098,-2.62958,-1.96124,-2.83928,-2.57741,-3.04641,-3.82456,-4.30168,127.92,7.0875,27.49,2.106938451,0.850493072,1.43917474
8,karate_network_8,-0.30819,-1.63704,-2.51635,-1.22069,-1.17458,-2.7219,-1.47109,-2.1618,-3.30168,-1.23164,-0.584343,-0.887711,-1.0697,-1.40847,-1.02729,-2.7702,-1.56528,-1.28842,-2.10578,-1.72997,-3.15555,-2.11416,-2.32855,-2.50234,-1.97127,-3.12559,-2.69962,-3.45658,-3.82456,-4.30168,89.31,7.0407,24.054,1.950900089,0.84761584,1.381187307
9,karate_network_9,-0.26812,-1.74659,-2.78317,-1.25285,-1.21461,-2.58568,-1.51281,-2.20477,-3.18774,-1.24288,-0.570899,-0.880077,-1.12937,-1.57823,-0.969041,-2.56132,-1.43776,-1.28758,-2.48214,-1.55817,-3.02293,-2.12559,-2.32855,-2.3774,-1.90374,-2.65823,-2.66821,-2.85452,-3.39859,-4.30168,275.49,7.1767,35.091,2.440105839,0.855924792,1.545195745
10,karate_network_10,-0.23962,-1.73465,-2.7219,-1.29181,-1.19856,-2.54581,-1.46981,-2.31491,-3.04641,-1.25285,-0.58501,-0.90322,-1.0331,-1.55194,-0.979875,-2.87032,-1.45907,-1.25519,-2.30168,-1.69638,-2.88671,-1.95338,-2.3932,-2.16814,-1.99418,-2.59411,-2.59411,-3.39859,-3.09756,-4.30168,443.1,7.2264,39.789,2.64650175,0.858921997,1.599763024
11,karate_network_11,-0.2601,-1.67024,-2.47561,-1.27884,-1.19583,-2.54581,-1.44495,-2.14332,-3.04641,-1.19042,-0.608658,-0.874357,-1.14302,-1.52936,-0.9959,-2.64847,-1.49078,-1.25753,-2.40959,-1.71735,-3.04641,-2.04883,-1.91787,-2.00721,-1.95143,-2.65823,-2.20477,-3.2225,-3.30168,-4.30168,769.64,7.2836,44.543,2.886287631,0.862346087,1.648779464
