EndNodes_1	EndNodes_2
1	19
1	41
1	45
1	54
1	72
2	8
3	87
4	41
5	53
5	56
5	58
5	61
5	74
6	37
6	45
6	51
6	75
6	88
7	54
8	21
8	22
8	24
8	30
8	53
8	54
8	91
9	29
9	54
9	80
10	92
11	40
11	51
11	53
12	93
13	54
13	57
14	28
14	93
15	33
15	58
15	72
15	89
16	78
17	56
18	93
19	28
20	75
21	35
22	56
22	62
23	42
25	56
26	27
28	68
28	81
28	93
29	89
29	95
31	54
31	56
31	74
32	54
34	72
36	89
38	76
38	89
39	40
39	50
40	45
41	45
41	95
43	66
43	74
44	55
45	54
45	64
45	70
45	73
45	83
45	86
45	94
46	63
47	54
48	54
48	65
48	75
49	72
50	56
50	93
51	77
51	93
51	95
52	79
53	69
53	90
54	61
54	64
54	65
54	68
54	72
54	84
54	89
56	72
56	82
59	89
60	93
61	64
61	66
64	81
67	72
70	89
71	79
72	84
72	85
74	89
75	89
93	96
